Month,Region,State,Energy Requirement,Energy met,Peak Demand Met
01-12-2024,NER,Haryana,4717,4717,9351
01-12-2024,NER,Himachal Pradesh,1186,1186,2254
01-12-2024,NER,J&K(UT) and Ladakh(UT),1978,1956,3157
01-12-2024,NER,Punjab,4811,4811,9355
01-12-2024,NR,Rajasthan,9976,9976,18643
01-12-2024,NR,Uttar Pradesh,10355,10352,20666
01-12-2024,NR,Uttarakhand,1354,1354,2504
01-12-2024,NR,Railway NR ISTS,124,124,223
01-12-2024,NR,Gujarat,12701,12701,22453
01-12-2024,NR,Madhya Pradesh,10026,10013,19183
01-12-2024,NR,Chhattisgarh,3045,3045,5169
01-12-2024,NR,Maharashtra,17572,17572,28632
01-12-2024,NR,Goa,444,444,749
01-12-2024,WR,Andhra Pradesh,5923,5923,10527
01-12-2024,WR,Telangana,7494,7494,14375
01-12-2024,WR,Karnataka,7376,7376,15312
01-12-2024,SR,Kerala,2544,2544,4478
01-12-2024,SR,Tamil Nadu,9419,9419,16307
01-12-2024,SR,Puducherry,261,261,448
01-12-2024,SR,Bihar,2782,2777,5424
01-12-2024,SR,Jharkhand,1170,1169,2090
01-12-2024,SR,Odisha,2963,2963,5255
01-12-2024,ER,West Bengal,4310,4310,7256
01-12-2024,ER,Sikkim,57,57,127
01-12-2024,ER,Railway ER ISTS,5,5,29
01-12-2024,ER,Arunachal Pradesh,88,88,167
01-12-2024,ER,Assam,824,824,1543
01-12-2024,ER,Manipur,112,112,269
01-12-2024,ER,Meghalaya,201,201,378
01-12-2024,NER,Mizoram,69,69,162
01-12-2024,NER,Nagaland,79,79,176
01-12-2024,NER,Tripura,160,160,239
01-11-2024,NER,Chandigarh,109,109,221
01-11-2024,NER,Delhi,2243,2243,4259
01-11-2024,NER,Haryana,4343,4343,7848
01-11-2024,NER,Himachal Pradesh,1018,1018,2107
01-11-2024,NER,J&K(UT) and Ladakh (UT),1643,1638,2836
01-11-2024,NER,Punjab,4308,4308,8962
01-11-2024,NR,Rajasthan,9606,9606,17434
01-11-2024,NR,Uttar Pradesh,10485,10485,19929
01-11-2024,NR,Uttarakhand,1193,1193,2249
01-11-2024,NR,Railway NR ISTS,128,128,235
01-11-2024,NR,Gujarat,11809,11809,21493
01-11-2024,NR,Madhya Pradesh,9413,9411,17923
01-11-2024,NR,Chhattisgarh,2712,2712,4566
01-11-2024,NR,Maharashtra,16708,16708,27845
01-11-2024,WR,Goa,433,433,743
01-11-2024,WR,Andhra Pradesh,6216,6166,11023
01-11-2024,WR,Telangana,6083,6027,11180
01-11-2024,WR,Karnataka,7115,7054,14853
01-11-2024,SR,Kerala,2537,2517,4505
01-11-2024,SR,Tamil Nadu,9474,9398,16872
01-11-2024,SR,Puducherry,275,273,450
01-11-2024,SR,Bihar,2820,2820,6056
01-11-2024,SR,Jharkhand,1119,1118,2074
01-11-2024,SR,Odisha,3116,3116,5643
01-11-2024,ER,West Bengal,4622,4622,8765
01-11-2024,ER,Sikkim,45,45,111
01-11-2024,ER,Railway ER ISTS,4,4,24
01-11-2024,ER,Arunachal Pradesh,78,78,167
01-11-2024,ER,Assam,886,886,1853
01-11-2024,ER,Manipur,79,79,233
01-11-2024,ER,Meghalaya,185,185,368
01-11-2024,NER,Mizoram,56,56,145
01-11-2024,NER,Nagaland,72,72,178
01-11-2024,NER,Tripura,132,132,310
01-10-2024,NER,Chandigarh,145,145,298
01-10-2024,NER,Delhi,3250,3250,6161
01-10-2024,NER,Haryana,6162,6162,11087
01-10-2024,NER,Himachal Pradesh,1067,1067,1947
01-10-2024,NER,J&K(UT) and Ladakh(UT),1558,1546,2742
01-10-2024,NER,Punjab,6338,6338,14311
01-10-2024,NR,Rajasthan,9845,9845,16206
01-10-2024,NR,Uttar Pradesh,14230,14229,26756
01-10-2024,NR,Uttarakhand,1370,1369,2412
01-10-2024,NR,Railway NR ISTS,132,132,238
01-10-2024,NR,Gujarat,13185,13185,22092
01-10-2024,NR,Madhya Pradesh,8024,8024,13563
01-10-2024,NR,Chhattisgarh,3853,3852,5916
